,Maroons,BIG RED,Car Ramrod,Got Fitz?,Julia lt da dogs out,Impossible Burgers,Kewi's Primo Team,Manager-less Team,BlackMagic,Da Boyz in AZ
QB1,Patrick Mahomes,Deshaun Watson,Brock Purdy,Justin Fields,Trevor Lawrence,Aaron Rodgers,Josh Allen,Geno Smith,Jalen Hurts,Lamar Jackson
QB2,Joe Burrow,Tua Tagovailoa,Jared Goff,Derek Carr,Dak Prescott,Jordan Love,Justin Herbert,Russell Wilson,Daniel Jones,Kirk Cousins
WR1,Deebo Samuel,Justin Jefferson,Jaylen Waddle,Amari Cooper,DJ Moore,Tyreek Hill,A.J. Brown,Amon-Ra St. Brown,Stefon Diggs,Ja'Marr Chase
WR2,Keenan Allen,CeeDee Lamb,Davante Adams,DK Metcalf,Christian Kirk,DeVonta Smith,Calvin Ridley,Chris Olave,Tee Higgins,Garrett Wilson
WR3,,,,,,,,,,
RB1,Derrick Henry,Saquon Barkley,Bijan Robinson,Tony Pollard,Christian McCaffrey,Aaron Jones,Joe Mixon,Austin Ekeler,Travis Etienne Jr.,Cam Akers
RB2,Alexander Mattison,Dameon Pierce,Najee Harris,James Conner,Josh Jacobs,J.K. Dobbins,Rhamondre Stevenson,Nick Chubb,Jahmyr Gibbs,Kenneth Walker III
TE,Darren Waller,Evan Engram,Mark Andrews,Tyler Higbee,Dallas Goedert,Pat Freiermuth,David Njoku,T.J. Hockenson,Kyle Pitts,Dalton Kincaid
W/R/T,Isiah Pacheco,Tyler Lockett,Khalil Herbert,DeAndre Hopkins,Antonio Gibson,Brandon Aiyuk,Miles Sanders,Brandin Cooks,Chris Godwin,Drake London
BN1,Breece Hall,Jahan Dotson,Javonte Williams,Jake Ferguson,Mike Williams,Anthony Richardson,Michael Pittman Jr.,Terry McLaurin,Diontae Johnson,George Kittle
BN2,Jerry Jeudy,AJ Dillon,Mike Evans,Travis Kelce,Bryce Young,James Cook,Matthew Stafford,Rachaad White,Marquise Brown,Christian Watson
BN3,Gabe Davis,Kenny Pickett,,Alvin Kamara,D'Andre Swift,Brian Robinson,Elijah Mitchell,George Pickens,Jamaal Williams,Dalvin Cook
BN4,,,,,,,,,,
BN5,,,,,,,,,,
BN6,,,,,,,,,,
BN7,,,,,,,,,,
BN8,,,,,,,,,,
BN9,,,,,,,,,,
BN10,,,,,,,,,,
K,Justin Tucker,Harrison Butker,Daniel Carlson,Younghoe Koo,Riley Patterson,Evan McPherson,Jason Sanders,Tyler Bass,Cameron Dicker,Jake Moody
DEF,Washington,Cincinnati,Buffalo,Dallas,San Francisco,New England,Baltimore,Philadelphia,New York,Denver
