,Maroons,BIG RED,Car Ramrod,Got Fitz?,Julia lt da dogs out,Impossible Burgers,Kewi's Primo Team,Manager-less Team,BlackMagic,Da Boyz in AZ
QB1,25.64,21.26,19.7,14.94,22.14,-1.0,8.94,10.68,13.7,4.26
QB2,2.58,42.94,17.22,19.9,8.62,30.5,22.22,19.88,-1.04,25.76
WR1,11.3,30.0,11.8,6.7,4.5,50.5,14.9,19.1,28.2,9.1
WR2,14.2,12.7,12.6,13.7,1.9,17.7,26.1,22.2,0.0,14.4
WR3,,,,,,,,,,
RB1,14.9,9.3,20.3,22.2,33.9,27.7,10.3,30.4,21.4,8.9
RB2,13.4,6.7,5.3,12.0,9.1,11.7,14.9,19.7,8.0,10.7
TE,6.6,9.9,0.0,7.9,0.0,7.3,4.4,11.5,6.4,6.6
W/R/T,9.4,3.0,11.4,13.5,3.0,34.9,11.8,4.2,10.1,0.0
BN1,19.7,9.0,9.7,3.1,8.5,21.32,23.7,5.1,7.8,4.9
BN2,0.0,5.6,18.6,0.0,9.54,10.3,20.86,6.9,8.7,0.0
BN3,5.2,9.78,,0.0,1.3,13.6,1.0,8.6,7.2,8.9
BN4,,,,,,,,,,
BN5,,,,,,,,,,
BN6,,,,,,,,,,
BN7,,,,,,,,,,
BN8,,,,,,,,,,
BN9,,,,,,,,,,
BN10,,,,,,,,,,
K,6.0,10.0,5.0,8.0,3.0,5.0,15.0,16.0,13.0,17.0
DEF,18.55,16.45,9.2,55.85,27.05,18.15,22.9,24.05,32.6,5.75
